I-A,0.9997790404040403,1604,20
I-B,0.9965672502273613,1604,172
I-C,0.9975106685633045,1604,198
I-D,0.9978687127024722,1604,17
I-E,0.9996836621716081,1604,567
I-F,0.9996100870022737,1604,146
I-U,0.9804118466152554,1604,48
II-A,0.9969328864314032,1604,93
II-B,0.9974921630094044,1604,9
II-C,0.9975419438517217,1604,62
III-A,0.9867868645042541,1604,92
III-B,0.9845945852852028,1604,76
III-C,0.9932457786116322,1604,5
III-D,0.9832403701030246,1604,49
IV-A,0.9998210931210305,1604,7
V-A,0.9978070175438597,1604,8
V-B2,1,1604,1
V-F,0.7724719101123596,1604,2
V-J,1,1604,3
V-U1,1,1604,1
V-U2,0.9653558052434458,1604,2
V-U4,0.99921875,1604,4
VI-A,1,1604,1
VI-B,0.9455108059759203,1604,13
